,QS-based composition,MLaaS_CS,QualityCategory,model category,Rule-Based AC
415,1,1,1,Minist64,0
416,1,1,1,Minist64,0
417,1,1,1,Minist64,0
418,1,1,1,Minist64,0
419,1,1,1,Minist64,0
420,1,1,1,Minist64,0
421,1,1,1,Minist64,0
422,1,1,1,Minist64,0
423,1,1,1,Minist64,1
424,1,1,1,Minist64,0
425,1,1,1,Minist64,0
426,1,1,1,Minist64,0
427,1,1,1,Minist64,1
428,1,1,1,Minist64,0
429,1,1,1,Minist64,0
430,1,1,1,Minist64,0
431,1,1,1,Minist64,0
432,1,1,1,Minist64,0
433,1,1,1,Minist64,0
434,1,1,1,Minist64,0
435,1,1,1,Minist64,1
436,1,1,1,Minist64,0
437,1,1,1,Minist64,0
438,1,1,1,Minist64,0
439,1,1,1,Minist64,0
440,1,1,1,Minist64,0
441,1,1,1,Minist64,0
442,1,1,1,Minist64,0
443,1,1,1,Minist64,0
444,1,1,1,Minist64,0
445,1,1,1,Minist64,0
446,1,1,1,Minist64,0
447,1,1,1,Minist64,0
448,1,1,1,Minist64,0
449,1,1,1,Minist64,0
450,1,1,1,Minist64,0
451,1,1,1,Minist64,0
452,1,1,1,Minist64,0
453,1,1,1,Minist64,1
454,1,1,1,Minist64,0
455,1,1,1,Minist64,0
456,1,1,1,Minist64,0
457,1,1,1,Minist64,0
458,1,1,1,Minist64,0
459,1,1,1,Minist64,0
460,1,1,1,Minist64,0
461,1,1,1,Minist64,0
462,1,1,1,Minist64,1
463,1,1,1,Minist64,0
464,1,1,1,Minist64,0
465,1,1,1,Minist64,0
466,1,1,1,Minist64,1
467,1,1,1,Minist64,0
468,1,1,1,Minist64,0
469,1,1,1,Minist64,0
470,1,1,1,Minist64,0
471,1,1,1,Minist64,0
472,1,1,1,Minist64,0
473,1,1,1,Minist64,0
474,1,1,1,Minist64,0
475,1,1,1,Minist64,1
476,1,1,1,Minist64,0
477,1,1,1,Minist64,0
478,1,1,1,Minist64,0
479,1,1,1,Minist64,0
480,1,1,1,Minist64,0
481,0,1,1,Minist64,0
482,1,1,1,Minist64,0
483,0,1,1,Minist64,0
484,1,1,1,Minist64,1
485,1,1,1,Minist64,0
486,1,1,1,Minist64,1
487,1,1,1,Minist64,0
488,1,1,1,Minist64,0
489,1,1,1,Minist64,1
